sector,fiscal_year,number_of_agents
Swanton,1992,68
Swanton,1993,71
Swanton,1994,70
Swanton,1995,68
Swanton,1996,66
Swanton,1997,58
Swanton,1998,70
Swanton,1999,74
Swanton,2000,74
Swanton,2001,82
Swanton,2002,90
Swanton,2003,97
Swanton,2004,147
Swanton,2005,161
Swanton,2006,155
Swanton,2007,178
Swanton,2008,219
Swanton,2009,292
Swanton,2010,294
Swanton,2011,302
Swanton,2012,306
Swanton,2013,304
Swanton,2014,299
Swanton,2015,294
Swanton,2016,294
Swanton,2017,292
Swanton,2018,301
Swanton,2019,301
