sector,fiscal_year,number_of_agents
El Paso,1992,627
El Paso,1993,608
El Paso,1994,643
El Paso,1995,746
El Paso,1996,841
El Paso,1997,918
El Paso,1998,972
El Paso,1999,957
El Paso,2000,1036
El Paso,2001,1086
El Paso,2002,1122
El Paso,2003,1188
El Paso,2004,1094
El Paso,2005,1330
El Paso,2006,1741
El Paso,2007,2251
El Paso,2008,2506
El Paso,2009,2712
El Paso,2010,2752
El Paso,2011,2738
El Paso,2012,2718
El Paso,2013,2631
El Paso,2014,2516
El Paso,2015,2343
El Paso,2016,2240
El Paso,2017,2182
El Paso,2018,2171
El Paso,2019,2160
