sector,fiscal_year,number_of_agents
Nationwide Total,1992,4139
Nationwide Total,1993,4028
Nationwide Total,1994,4287
Nationwide Total,1995,4945
Nationwide Total,1996,5942
Nationwide Total,1997,6895
Nationwide Total,1998,7982
Nationwide Total,1999,8351
Nationwide Total,2000,9212
Nationwide Total,2001,9821
Nationwide Total,2002,10045
Nationwide Total,2003,10717
Nationwide Total,2004,10819
Nationwide Total,2005,11264
Nationwide Total,2006,12349
Nationwide Total,2007,14923
Nationwide Total,2008,17499
Nationwide Total,2009,20119
Nationwide Total,2010,20558
Nationwide Total,2011,21444
Nationwide Total,2012,21394
Nationwide Total,2013,21391
Nationwide Total,2014,20863
Nationwide Total,2015,20273
Nationwide Total,2016,19828
Nationwide Total,2017,19437
Nationwide Total,2018,19555
