sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
El_Paso,2000,231392,NA,NA
El_Paso,2001,225714,NA,NA
El_Paso,2002,188308,NA,NA
El_Paso,2003,177632,NA,NA
El_Paso,2004,208798,NA,NA
El_Paso,2005,245358,NA,NA
El_Paso,2006,244512,NA,NA
El_Paso,2007,150928,NA,NA
El_Paso,2008,60624,NA,NA
El_Paso,2009,29998,NA,NA
El_Paso,2010,24502,2022,NA
El_Paso,2011,20690,1394,NA
El_Paso,2012,19356,1318,NA
El_Paso,2013,22308,1488,596
El_Paso,2014,24678,2058,1124
El_Paso,2015,28990,3324,2440
El_Paso,2016,51268,7770,11328
El_Paso,2017,50386,7852,17218
El_Paso,2018,63122,10922,24624
