sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Southwest Border Total,2010,895462,36822,NA
Southwest Border Total,2011,NA,31898,NA
Southwest Border Total,2012,713746,48806,NA
Southwest Border Total,2013,828794,77518,NA
Southwest Border Total,2014,958742,137082,136890
Southwest Border Total,2015,662666,79940,79676
Southwest Border Total,2016,817740,119384,155348
Southwest Border Total,2017,607832,82870,151244
Southwest Border Total,2018,793158,100072,214424
