sector,fiscal_year,number_of_agents
Yuma,1992,195
Yuma,1993,182
Yuma,1994,182
Yuma,1995,185
Yuma,1996,174
Yuma,1997,175
Yuma,1998,227
Yuma,1999,228
Yuma,2000,313
Yuma,2001,323
Yuma,2002,323
Yuma,2003,358
Yuma,2004,331
Yuma,2005,547
Yuma,2006,774
Yuma,2007,825
Yuma,2008,932
Yuma,2009,972
Yuma,2010,987
Yuma,2011,969
Yuma,2012,954
Yuma,2013,911
Yuma,2014,855
Yuma,2015,802
Yuma,2016,829
Yuma,2017,859
Yuma,2018,844
Yuma,2019,809
