sector,fiscal_year,total_apprehensions
Big Bend,1960,732
Big Bend,1961,954
Big Bend,1962,1431
Big Bend,1963,2026
Big Bend,1964,3146
Big Bend,1965,3973
Big Bend,1966,6592
Big Bend,1967,7049
Big Bend,1968,8834
Big Bend,1969,11973
Big Bend,1970,16770
Big Bend,1971,22026
Big Bend,1972,20269
Big Bend,1973,22378
Big Bend,1974,23291
Big Bend,1975,20472
Big Bend,1976,19846
Big Bend,1977,22239
Big Bend,1978,23501
Big Bend,1979,20116
Big Bend,1980,15602
Big Bend,1981,17584
Big Bend,1982,20268
Big Bend,1983,20829
Big Bend,1984,22196
Big Bend,1985,23667
Big Bend,1986,23796
Big Bend,1987,9586
Big Bend,1988,6209
Big Bend,1989,5560
Big Bend,1990,7180
Big Bend,1991,8764
Big Bend,1992,13819
Big Bend,1993,15486
Big Bend,1994,13494
Big Bend,1995,11552
Big Bend,1996,13214
Big Bend,1997,12692
Big Bend,1998,14509
Big Bend,1999,14952
Big Bend,2000,13689
Big Bend,2001,12087
Big Bend,2002,11392
Big Bend,2003,10319
Big Bend,2004,10530
Big Bend,2005,10536
Big Bend,2006,7520
Big Bend,2007,5536
Big Bend,2008,5391
Big Bend,2009,6360
Big Bend,2010,5288
Big Bend,2011,4036
Big Bend,2012,3964
Big Bend,2013,3684
Big Bend,2014,4096
Big Bend,2015,5031
Big Bend,2016,6366
Big Bend,2017,6002
Big Bend,2018,8045
Big Bend,2019,9637
