sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Grand_Forks,2000,1124,NA,NA
Grand_Forks,2001,1842,NA,NA
Grand_Forks,2002,2738,NA,NA
Grand_Forks,2003,2446,NA,NA
Grand_Forks,2004,2450,NA,NA
Grand_Forks,2005,1508,NA,NA
Grand_Forks,2006,1036,NA,NA
Grand_Forks,2007,994,NA,NA
Grand_Forks,2008,1082,NA,NA
Grand_Forks,2009,944,NA,NA
Grand_Forks,2010,1086,28,NA
Grand_Forks,2011,936,14,NA
Grand_Forks,2012,836,4,NA
Grand_Forks,2013,938,8,8
Grand_Forks,2014,1534,8,28
Grand_Forks,2015,1578,6,18
Grand_Forks,2016,1010,10,6
Grand_Forks,2017,992,8,20
Grand_Forks,2018,922,6,14
