sector,fiscal_year,number_of_agents
Tucson,1992,300
Tucson,1993,287
Tucson,1994,282
Tucson,1995,407
Tucson,1996,702
Tucson,1997,875
Tucson,1998,1013
Tucson,1999,1328
Tucson,2000,1548
Tucson,2001,1686
Tucson,2002,1626
Tucson,2003,1838
Tucson,2004,2104
Tucson,2005,2324
Tucson,2006,2595
Tucson,2007,2806
Tucson,2008,3049
Tucson,2009,3318
Tucson,2010,3353
Tucson,2011,4239
Tucson,2012,4176
Tucson,2013,4135
Tucson,2014,4052
Tucson,2015,3991
Tucson,2016,3834
Tucson,2017,3691
Tucson,2018,3681
