sector,fiscal_year,number_of_agents
Coastal Border Total,1992,187
Coastal Border Total,1993,183
Coastal Border Total,1994,170
Coastal Border Total,1995,153
Coastal Border Total,1996,155
Coastal Border Total,1997,146
Coastal Border Total,1998,161
Coastal Border Total,1999,152
Coastal Border Total,2000,150
Coastal Border Total,2001,148
Coastal Border Total,2002,143
Coastal Border Total,2003,152
Coastal Border Total,2004,160
Coastal Border Total,2005,160
Coastal Border Total,2006,153
Coastal Border Total,2007,172
Coastal Border Total,2008,209
Coastal Border Total,2009,223
Coastal Border Total,2010,246
Coastal Border Total,2011,232
Coastal Border Total,2012,224
Coastal Border Total,2013,213
Coastal Border Total,2014,217
Coastal Border Total,2015,213
Coastal Border Total,2016,211
Coastal Border Total,2017,212
Coastal Border Total,2018,248
Coastal Border Total,2019,255
