sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Coastal_Border_Total,2000,41302,NA,NA
Coastal_Border_Total,2001,36316,NA,NA
Coastal_Border_Total,2002,30028,NA,NA
Coastal_Border_Total,2003,32670,NA,NA
Coastal_Border_Total,2004,22308,NA,NA
Coastal_Border_Total,2005,20672,NA,NA
Coastal_Border_Total,2006,21042,NA,NA
Coastal_Border_Total,2007,23372,NA,NA
Coastal_Border_Total,2008,21790,NA,NA
Coastal_Border_Total,2009,16740,NA,NA
Coastal_Border_Total,2010,16440,178,NA
Coastal_Border_Total,2011,13104,84,NA
Coastal_Border_Total,2012,7370,56,NA
Coastal_Border_Total,2013,6324,88,134
Coastal_Border_Total,2014,7884,130,250
Coastal_Border_Total,2015,6316,102,262
Coastal_Border_Total,2016,9326,96,232
Coastal_Border_Total,2017,7176,130,98
Coastal_Border_Total,2018,6494,112,96
