sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Miami,2000,12474,NA,NA
Miami,2001,11924,NA,NA
Miami,2002,10286,NA,NA
Miami,2003,11862,NA,NA
Miami,2004,9204,NA,NA
Miami,2005,14490,NA,NA
Miami,2006,12064,NA,NA
Miami,2007,14240,NA,NA
Miami,2008,12040,NA,NA
Miami,2009,8850,NA,NA
Miami,2010,9302,114,NA
Miami,2011,8802,54,NA
Miami,2012,5018,36,NA
Miami,2013,3476,56,86
Miami,2014,4068,56,174
Miami,2015,3504,40,196
Miami,2016,6410,40,156
Miami,2017,4560,84,64
Miami,2018,4338,54,86
