fiscal_year,total_apprehensions,sector
1925,22199,Nationwide Total
1926,12735,Nationwide Total
1927,16393,Nationwide Total
1928,23566,Nationwide Total
1929,32711,Nationwide Total
1930,20880,Nationwide Total
1931,22276,Nationwide Total
1932,22735,Nationwide Total
1933,20949,Nationwide Total
1934,10319,Nationwide Total
1935,11016,Nationwide Total
1936,11728,Nationwide Total
1937,13054,Nationwide Total
1938,12851,Nationwide Total
1939,12037,Nationwide Total
1940,10492,Nationwide Total
1941,11294,Nationwide Total
1942,11784,Nationwide Total
1943,11175,Nationwide Total
1944,31175,Nationwide Total
1945,69164,Nationwide Total
1946,99591,Nationwide Total
1947,193657,Nationwide Total
1948,192779,Nationwide Total
1949,288253,Nationwide Total
1950,468339,Nationwide Total
1951,509040,Nationwide Total
1952,528815,Nationwide Total
1953,835311,Nationwide Total
1954,1028246,Nationwide Total
1955,225186,Nationwide Total
1956,68420,Nationwide Total
1957,46225,Nationwide Total
1958,40504,Nationwide Total
1959,32996,Nationwide Total
1960,28966,Nationwide Total
1961,29384,Nationwide Total
1962,29897,Nationwide Total
1963,38861,Nationwide Total
1964,42879,Nationwide Total
1965,52422,Nationwide Total
1966,79610,Nationwide Total
1967,94778,Nationwide Total
1968,123519,Nationwide Total
1969,172391,Nationwide Total
1970,231116,Nationwide Total
1971,302517,Nationwide Total
1972,396495,Nationwide Total
1973,498123,Nationwide Total
1974,634777,Nationwide Total
1975,596796,Nationwide Total
1976,696039,Nationwide Total
1977,812541,Nationwide Total
1978,862837,Nationwide Total
1979,888729,Nationwide Total
1980,759420,Nationwide Total
1981,825290,Nationwide Total
1982,819919,Nationwide Total
1983,1105670,Nationwide Total
1984,1138566,Nationwide Total
1985,1262435,Nationwide Total
1986,1692544,Nationwide Total
1987,1158030,Nationwide Total
1988,969214,Nationwide Total
1989,891147,Nationwide Total
1990,1103353,Nationwide Total
1991,1132033,Nationwide Total
1992,1199560,Nationwide Total
1993,1263490,Nationwide Total
1994,1031668,Nationwide Total
1995,1324202,Nationwide Total
1996,1549876,Nationwide Total
1997,1412953,Nationwide Total
1998,1555776,Nationwide Total
1999,1579010,Nationwide Total
2000,1676438,Nationwide Total
2001,1266214,Nationwide Total
2002,955310,Nationwide Total
2003,931557,Nationwide Total
2004,1160395,Nationwide Total
2005,1189075,Nationwide Total
2006,1089092,Nationwide Total
2007,876704,Nationwide Total
2008,723825,Nationwide Total
2009,556041,Nationwide Total
2010,463382,Nationwide Total
2011,340252,Nationwide Total
2012,364768,Nationwide Total
2013,420789,Nationwide Total
2014,486651,Nationwide Total
2015,337117,Nationwide Total
2016,415816,Nationwide Total
2017,310531,Nationwide Total
2018,404142,Nationwide Total
2019,859501,Nationwide Total
