sector,fiscal_year,number_of_agents
Detroit,1992,29
Detroit,1993,31
Detroit,1994,31
Detroit,1995,29
Detroit,1996,28
Detroit,1997,27
Detroit,1998,28
Detroit,1999,35
Detroit,2000,35
Detroit,2001,38
Detroit,2002,64
Detroit,2003,80
Detroit,2004,128
Detroit,2005,130
Detroit,2006,117
Detroit,2007,157
Detroit,2008,185
Detroit,2009,318
Detroit,2010,430
Detroit,2011,409
Detroit,2012,409
Detroit,2013,410
Detroit,2014,406
Detroit,2015,411
Detroit,2016,411
Detroit,2017,408
Detroit,2018,411
