sector,fiscal_year,number_of_agents
Del_Rio,1992,317
Del_Rio,1993,297
Del_Rio,1994,299
Del_Rio,1995,399
Del_Rio,1996,406
Del_Rio,1997,471
Del_Rio,1998,589
Del_Rio,1999,639
Del_Rio,2000,758
Del_Rio,2001,893
Del_Rio,2002,972
Del_Rio,2003,950
Del_Rio,2004,933
Del_Rio,2005,907
Del_Rio,2006,935
Del_Rio,2007,1138
Del_Rio,2008,1427
Del_Rio,2009,1682
Del_Rio,2010,1650
Del_Rio,2011,1626
Del_Rio,2012,1655
Del_Rio,2013,1598
Del_Rio,2014,1537
Del_Rio,2015,1536
Del_Rio,2016,1439
Del_Rio,2017,1391
Del_Rio,2018,1366
