sector,fiscal_year,deaths
Yuma,1998,17
Yuma,1999,21
Yuma,2000,36
Yuma,2001,24
Yuma,2002,12
Yuma,2003,22
Yuma,2004,39
Yuma,2005,52
Yuma,2006,40
Yuma,2007,11
Yuma,2008,5
Yuma,2009,3
Yuma,2010,1
Yuma,2011,3
Yuma,2012,9
Yuma,2013,6
Yuma,2014,4
Yuma,2015,6
Yuma,2016,7
Yuma,2017,2
Yuma,2018,1
