sector,fiscal_year,ammunition_rounds,apprehensions,cocaine_pounds,cocaine_seizures,conveyances,currency_in_dollars,ecstasy_pounds,ecstasy_seizures,firearms,heroin_ounces,heroin_seizures,marijuana_pounds,marijuana_seizures,methamphetamine_pounds,methamphetamine_seizures,other_drugs_pounds,other_drugs_seizures,other_than_mexican_apprehensions
Coastal Border Total,2011,122,6552,989,19,71,41742,0,0,3,158,2,2001,133,5,5,9,21,4123
Coastal Border Total,2012,665,3685,5962,24,83,280002,0,2,28,441,6,661,40,10,1,157,18,2577
Coastal Border Total,2013,290,3162,709,29,68,308361,0,3,19,259,1,1262,63,2,11,8,9,2509
Coastal Border Total,2014,19,3942,20,8,95,33045,19,12,9,0,0,1232,24,0,3,76,19,3200
Coastal Border Total,2015,25,668,6884,18,115,2626,3,5,8,0,0,1154,39,3,1,10,4,2490
Coastal Border Total,2016,127,4663,1288,31,84,72351,0,1,10,87,1,1232,90,0,4,0,1,3623
Coastal Border Total,2017,217,3588,3169,33,86,325129,0,1,9,0,0,2277,113,23,2,0,6,2561
Coastal Border Total,2018,274,3247,1701,58,79,131976,0,1,17,4,3,731,99,3,8,26,22,2297
