sector,fiscal_year,deaths
Laredo,1998,20
Laredo,1999,37
Laredo,2000,47
Laredo,2001,28
Laredo,2002,15
Laredo,2003,17
Laredo,2004,22
Laredo,2005,53
Laredo,2006,36
Laredo,2007,52
Laredo,2008,32
Laredo,2009,58
Laredo,2010,35
Laredo,2011,65
Laredo,2012,91
Laredo,2013,62
Laredo,2014,54
Laredo,2015,57
Laredo,2016,68
Laredo,2017,84
Laredo,2018,69
