sector,fiscal_year,number_of_agents
Big Bend,1992,108
Big Bend,1993,134
Big Bend,1994,128
Big Bend,1995,133
Big Bend,1996,134
Big Bend,1997,135
Big Bend,1998,164
Big Bend,1999,144
Big Bend,2000,196
Big Bend,2001,194
Big Bend,2002,253
Big Bend,2003,230
Big Bend,2004,239
Big Bend,2005,220
Big Bend,2006,246
Big Bend,2007,336
Big Bend,2008,421
Big Bend,2009,682
Big Bend,2010,672
Big Bend,2011,667
Big Bend,2012,693
Big Bend,2013,623
Big Bend,2014,588
Big Bend,2015,549
Big Bend,2016,511
Big Bend,2017,500
Big Bend,2018,499
