sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Nationwide_Total,2010,463382,18622,NA
Nationwide_Total,2011,NA,16067,NA
Nationwide_Total,2012,364768,24481,NA
Nationwide_Total,2013,420789,38833,NA
Nationwide_Total,2014,486651,68631,68684
Nationwide_Total,2015,337117,40035,40053
Nationwide_Total,2016,415816,59757,77857
Nationwide_Total,2017,310531,41546,75802
Nationwide_Total,2018,404142,50145,107490
