sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Del Rio,2010,29388,2028,NA
Del Rio,2011,32288,2226,NA
Del Rio,2012,43440,3236,NA
Del Rio,2013,47020,4270,1422
Del Rio,2014,48510,6536,9900
Del Rio,2015,38026,4570,4282
Del Rio,2016,46156,5378,7098
Del Rio,2017,26952,2698,4906
Del Rio,2018,31666,2594,5658
