sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Yuma,2000,217494,NA,NA
Yuma,2001,156770,NA,NA
Yuma,2002,85308,NA,NA
Yuma,2003,113276,NA,NA
Yuma,2004,196120,NA,NA
Yuma,2005,276876,NA,NA
Yuma,2006,237098,NA,NA
Yuma,2007,75984,NA,NA
Yuma,2008,16726,NA,NA
Yuma,2009,13902,NA,NA
Yuma,2010,14232,432,NA
Yuma,2011,11666,444,NA
Yuma,2012,13000,560,NA
Yuma,2013,12212,494,440
Yuma,2014,11804,702,1350
Yuma,2015,14284,2180,3468
Yuma,2016,28340,6532,12338
Yuma,2017,25694,5734,12148
Yuma,2018,52488,10848,29108
