sector,fiscal_year,number_of_agents
Houlton,1992,35
Houlton,1993,34
Houlton,1994,35
Houlton,1995,31
Houlton,1996,30
Houlton,1997,26
Houlton,1998,29
Houlton,1999,31
Houlton,2000,29
Houlton,2001,33
Houlton,2002,47
Houlton,2003,47
Houlton,2004,120
Houlton,2005,118
Houlton,2006,104
Houlton,2007,113
Houlton,2008,137
Houlton,2009,190
Houlton,2010,203
Houlton,2011,201
Houlton,2012,200
Houlton,2013,202
Houlton,2014,193
Houlton,2015,193
Houlton,2016,184
Houlton,2017,173
Houlton,2018,184
