sector,fiscal_year,number_of_agents
Ramey,1992,33
Ramey,1993,32
Ramey,1994,26
Ramey,1995,21
Ramey,1996,24
Ramey,1997,35
Ramey,1998,39
Ramey,1999,34
Ramey,2000,36
Ramey,2001,37
Ramey,2002,28
Ramey,2003,36
Ramey,2004,34
Ramey,2005,36
Ramey,2006,31
Ramey,2007,39
Ramey,2008,65
Ramey,2009,67
Ramey,2010,72
Ramey,2011,68
Ramey,2012,60
Ramey,2013,59
Ramey,2014,60
Ramey,2015,42
Ramey,2016,39
Ramey,2017,38
Ramey,2018,58
Ramey,2019,59
