sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Southwest Border Total,2010,447731,18411,NA
Southwest Border Total,2011,327577,15949,NA
Southwest Border Total,2012,356873,24403,NA
Southwest Border Total,2013,414397,38759,14855
Southwest Border Total,2014,479371,68541,68445
Southwest Border Total,2015,331333,39970,39838
Southwest Border Total,2016,408870,59692,77674
Southwest Border Total,2017,303916,41435,75622
Southwest Border Total,2018,396579,50036,107212
Southwest Border Total,2019,851508,76020,473682
