sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Buffalo,2000,3140,NA,NA
Buffalo,2001,2868,NA,NA
Buffalo,2002,2204,NA,NA
Buffalo,2003,1128,NA,NA
Buffalo,2004,1342,NA,NA
Buffalo,2005,800,NA,NA
Buffalo,2006,3034,NA,NA
Buffalo,2007,4382,NA,NA
Buffalo,2008,6678,NA,NA
Buffalo,2009,5344,NA,NA
Buffalo,2010,4844,92,NA
Buffalo,2011,4228,50,NA
Buffalo,2012,2286,36,NA
Buffalo,2013,1592,10,38
Buffalo,2014,1482,14,24
Buffalo,2015,582,4,6
Buffalo,2016,452,NA,10
Buffalo,2017,894,6,10
Buffalo,2018,768,10,10
