sector,fiscal_year,total_apprehensions
Laredo,1960,1024
Laredo,1961,1172
Laredo,1962,1274
Laredo,1963,1753
Laredo,1964,2168
Laredo,1965,2310
Laredo,1966,3658
Laredo,1967,4178
Laredo,1968,5715
Laredo,1969,8129
Laredo,1970,11569
Laredo,1971,17665
Laredo,1972,21781
Laredo,1973,23854
Laredo,1974,30061
Laredo,1975,26199
Laredo,1976,24665
Laredo,1977,27289
Laredo,1978,36627
Laredo,1979,50666
Laredo,1980,39167
Laredo,1981,36910
Laredo,1982,40385
Laredo,1983,65279
Laredo,1984,87059
Laredo,1985,114931
Laredo,1986,143685
Laredo,1987,74139
Laredo,1988,69912
Laredo,1989,75292
Laredo,1990,89052
Laredo,1991,72293
Laredo,1992,72449
Laredo,1993,82348
Laredo,1994,73142
Laredo,1995,93305
Laredo,1996,131841
Laredo,1997,141893
Laredo,1998,103433
Laredo,1999,114004
Laredo,2000,108973
Laredo,2001,87068
Laredo,2002,82095
Laredo,2003,70521
Laredo,2004,74706
Laredo,2005,75346
Laredo,2006,74840
Laredo,2007,56714
Laredo,2008,43658
Laredo,2009,40569
Laredo,2010,35287
Laredo,2011,36053
Laredo,2012,44872
Laredo,2013,50749
Laredo,2014,44049
Laredo,2015,35888
Laredo,2016,36562
Laredo,2017,25460
Laredo,2018,32641
