sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Spokane,2000,2648,NA,NA
Spokane,2001,2670,NA,NA
Spokane,2002,2284,NA,NA
Spokane,2003,1984,NA,NA
Spokane,2004,1694,NA,NA
Spokane,2005,558,NA,NA
Spokane,2006,370,NA,NA
Spokane,2007,682,NA,NA
Spokane,2008,680,NA,NA
Spokane,2009,554,NA,NA
Spokane,2010,712,4,NA
Spokane,2011,586,6,NA
Spokane,2012,634,4,NA
Spokane,2013,598,6,20
Spokane,2014,538,4,10
Spokane,2015,380,0,10
Spokane,2016,412,0,4
Spokane,2017,416,0,10
Spokane,2018,694,2,5
