sector,fiscal_year,number_of_agents
Blaine,1992,39
Blaine,1993,45
Blaine,1994,43
Blaine,1995,49
Blaine,1996,45
Blaine,1997,38
Blaine,1998,38
Blaine,1999,48
Blaine,2000,45
Blaine,2001,48
Blaine,2002,81
Blaine,2003,89
Blaine,2004,127
Blaine,2005,129
Blaine,2006,121
Blaine,2007,133
Blaine,2008,182
Blaine,2009,241
Blaine,2010,327
Blaine,2011,331
Blaine,2012,323
Blaine,2013,315
Blaine,2014,313
Blaine,2015,296
Blaine,2016,295
Blaine,2017,296
Blaine,2018,310
Blaine,2019,292
