sector,fiscal_year,deaths
Rio Grande Valley,1998,26
Rio Grande Valley,1999,36
Rio Grande Valley,2000,40
Rio Grande Valley,2001,37
Rio Grande Valley,2002,30
Rio Grande Valley,2003,39
Rio Grande Valley,2004,35
Rio Grande Valley,2005,55
Rio Grande Valley,2006,81
Rio Grande Valley,2007,61
Rio Grande Valley,2008,92
Rio Grande Valley,2009,68
Rio Grande Valley,2010,29
Rio Grande Valley,2011,66
Rio Grande Valley,2012,144
Rio Grande Valley,2013,156
Rio Grande Valley,2014,116
Rio Grande Valley,2015,97
Rio Grande Valley,2016,132
Rio Grande Valley,2017,104
Rio Grande Valley,2018,96
Rio Grande Valley,2019,69
