sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Nationwide Total,2010,926764,37244,NA
Nationwide Total,2011,NA,32134,NA
Nationwide Total,2012,729536,48962,NA
Nationwide Total,2013,841578,77666,NA
Nationwide Total,2014,973302,137262,137368
Nationwide Total,2015,674234,80070,80106
Nationwide Total,2016,831632,119514,155714
Nationwide Total,2017,621062,83092,151604
Nationwide Total,2018,808284,100290,214980
