sector,fiscal_year,number_of_agents
Rio_Grande_Valley,1992,418
Rio_Grande_Valley,1993,393
Rio_Grande_Valley,1994,392
Rio_Grande_Valley,1995,474
Rio_Grande_Valley,1996,507
Rio_Grande_Valley,1997,760
Rio_Grande_Valley,1998,1107
Rio_Grande_Valley,1999,1166
Rio_Grande_Valley,2000,1368
Rio_Grande_Valley,2001,1451
Rio_Grande_Valley,2002,1484
Rio_Grande_Valley,2003,1524
Rio_Grande_Valley,2004,1439
Rio_Grande_Valley,2005,1380
Rio_Grande_Valley,2006,1431
Rio_Grande_Valley,2007,1822
Rio_Grande_Valley,2008,2063
Rio_Grande_Valley,2009,2422
Rio_Grande_Valley,2010,2441
Rio_Grande_Valley,2011,2504
Rio_Grande_Valley,2012,2546
Rio_Grande_Valley,2013,3086
Rio_Grande_Valley,2014,3064
Rio_Grande_Valley,2015,3056
Rio_Grande_Valley,2016,3135
Rio_Grande_Valley,2017,3130
Rio_Grande_Valley,2018,3096
