sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Rio_Grande_Valley,2000,266486,NA,NA
Rio_Grande_Valley,2001,215688,NA,NA
Rio_Grande_Valley,2002,179854,NA,NA
Rio_Grande_Valley,2003,155498,NA,NA
Rio_Grande_Valley,2004,185894,NA,NA
Rio_Grande_Valley,2005,268372,NA,NA
Rio_Grande_Valley,2006,221056,NA,NA
Rio_Grande_Valley,2007,146860,NA,NA
Rio_Grande_Valley,2008,150946,NA,NA
Rio_Grande_Valley,2009,121978,NA,NA
Rio_Grande_Valley,2010,119532,9954,NA
Rio_Grande_Valley,2011,118486,10472,NA
Rio_Grande_Valley,2012,195524,21518,NA
Rio_Grande_Valley,2013,308906,43106,14530
Rio_Grande_Valley,2014,512786,99918,104652
Rio_Grande_Valley,2015,294514,47728,54818
Rio_Grande_Valley,2016,373660,73428,104012
Rio_Grande_Valley,2017,275124,47416,99792
Rio_Grande_Valley,2018,324524,47514,126556
