sector,fiscal_year,total_apprehensions
Del Rio,1960,3023
Del Rio,1961,3458
Del Rio,1962,3250
Del Rio,1963,4417
Del Rio,1964,4489
Del Rio,1965,4292
Del Rio,1966,6845
Del Rio,1967,7906
Del Rio,1968,9576
Del Rio,1969,12991
Del Rio,1970,18711
Del Rio,1971,25780
Del Rio,1972,31110
Del Rio,1973,42232
Del Rio,1974,44098
Del Rio,1975,32008
Del Rio,1976,32988
Del Rio,1977,42322
Del Rio,1978,54098
Del Rio,1979,50262
Del Rio,1980,50762
Del Rio,1981,50455
Del Rio,1982,48753
Del Rio,1983,83733
Del Rio,1984,87058
Del Rio,1985,99280
Del Rio,1986,123952
Del Rio,1987,64934
Del Rio,1988,59403
Del Rio,1989,46786
Del Rio,1990,41373
Del Rio,1991,38554
Del Rio,1992,33414
Del Rio,1993,42289
Del Rio,1994,50036
Del Rio,1995,76490
Del Rio,1996,121137
Del Rio,1997,113280
Del Rio,1998,131058
Del Rio,1999,156653
Del Rio,2000,157178
Del Rio,2001,104875
Del Rio,2002,66985
Del Rio,2003,50145
Del Rio,2004,53794
Del Rio,2005,68506
Del Rio,2006,42636
Del Rio,2007,22920
Del Rio,2008,20761
Del Rio,2009,17082
Del Rio,2010,14694
Del Rio,2011,16144
Del Rio,2012,21720
Del Rio,2013,23510
Del Rio,2014,24255
Del Rio,2015,19013
Del Rio,2016,23078
Del Rio,2017,13476
Del Rio,2018,15833
