sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Big_Bend,2000,27378,NA,NA
Big_Bend,2001,24174,NA,NA
Big_Bend,2002,22784,NA,NA
Big_Bend,2003,20638,NA,NA
Big_Bend,2004,21060,NA,NA
Big_Bend,2005,21072,NA,NA
Big_Bend,2006,15040,NA,NA
Big_Bend,2007,11072,NA,NA
Big_Bend,2008,10782,NA,NA
Big_Bend,2009,12720,NA,NA
Big_Bend,2010,10576,394,NA
Big_Bend,2011,8072,378,NA
Big_Bend,2012,7928,336,NA
Big_Bend,2013,7368,250,204
Big_Bend,2014,8192,512,352
Big_Bend,2015,10062,1678,1614
Big_Bend,2016,12732,1902,2102
Big_Bend,2017,12004,1622,1882
Big_Bend,2018,16090,1978,1482
