sector,fiscal_year,number_of_agents
Havre,1992,32
Havre,1993,30
Havre,1994,30
Havre,1995,29
Havre,1996,28
Havre,1997,25
Havre,1998,25
Havre,1999,25
Havre,2000,29
Havre,2001,31
Havre,2002,42
Havre,2003,52
Havre,2004,109
Havre,2005,100
Havre,2006,93
Havre,2007,103
Havre,2008,119
Havre,2009,156
Havre,2010,221
Havre,2011,213
Havre,2012,208
Havre,2013,192
Havre,2014,163
Havre,2015,168
Havre,2016,175
Havre,2017,183
Havre,2018,177
Havre,2019,172
