sector,fiscal_year,deaths
Big Bend,1998,3
Big Bend,1999,0
Big Bend,2000,3
Big Bend,2001,3
Big Bend,2002,4
Big Bend,2003,0
Big Bend,2004,0
Big Bend,2005,4
Big Bend,2006,4
Big Bend,2007,0
Big Bend,2008,3
Big Bend,2009,3
Big Bend,2010,0
Big Bend,2011,2
Big Bend,2012,1
Big Bend,2013,3
Big Bend,2014,5
Big Bend,2015,4
Big Bend,2016,2
Big Bend,2017,3
Big Bend,2018,10
Big Bend,2019,3
