sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
El Paso,2010,24502,2022,NA
El Paso,2011,20690,1394,NA
El Paso,2012,19356,1318,NA
El Paso,2013,22308,1488,596
El Paso,2014,24678,2058,1124
El Paso,2015,28990,3324,2440
El Paso,2016,51268,7770,11328
El Paso,2017,50386,7852,17218
El Paso,2018,63122,10922,24624
