sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions
Ramey,2011,68,642,639,1223,958.03,155,4,NA,NA,4,1,5,637,97,545
Ramey,2012,60,702,702,74,5888.6,162,0,NA,NA,3,5,8,694,108,594
Ramey,2013,59,924,921,126,573,74,0,NA,NA,4,5,9,915,183,741
Ramey,2014,59,958,958,1145,0,78,0,NA,NA,2,16,18,940,245,713
Ramey,2015,50,557,556,612,6565,55,0,NA,NA,8,5,13,544,110,447
Ramey,2016,39,694,694,2,943,81,1,NA,NA,8,3,11,683,134,560
Ramey,2017,38,388,387,3,2932,89,0,NA,NA,7,1,8,380,65,323
Ramey,2018,38,280,280,0,1609,70,0,NA,NA,0,3,3,277,36,244
