sector,fiscal_year,ammunition_rounds,apprehensions,cocaine_pounds,cocaine_seizures,conveyances,currency_in_dollars,ecstasy_pounds,ecstasy_seizures,firearms,heroin_ounces,heroin_seizures,marijuana_pounds,marijuana_seizures,methamphetamine_pounds,methamphetamine_seizures,other_drugs_pounds,other_drugs_seizures,other_than_mexican_apprehensions
Northern_Border_Total,2011,4182,6123,212,50,158,4900525,779,16,93,45,21,9472,504,2,21,32,125,2978
Northern_Border_Total,2012,2210,4210,206,43,137,1759626,199,10,66,49,23,1542,331,274,19,38,96,1904
Northern_Border_Total,2013,280,3230,78,34,78,944377,159,7,39,16,20,442,205,132,15,28,65,1558
Northern_Border_Total,2014,189,3338,92,35,73,606700,0,1,33,486,37,902,181,159,27,6,65,1673
Northern_Border_Total,2015,1388,1437,42,33,80,337507,147,12,51,46,37,654,158,11,39,5,48,1189
Northern_Border_Total,2016,669,2283,2,18,102,199797,7,1,50,14,22,714,214,8,38,190,46,1114
Northern_Border_Total,2017,384,3027,3,46,79,374282,0,2,45,62,29,1066,255,32,68,14,99,1538
