sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
El_Centro,2000,476252,NA,NA
El_Centro,2001,345704,NA,NA
El_Centro,2002,216546,NA,NA
El_Centro,2003,184198,NA,NA
El_Centro,2004,148934,NA,NA
El_Centro,2005,111444,NA,NA
El_Centro,2006,122930,NA,NA
El_Centro,2007,111766,NA,NA
El_Centro,2008,81922,NA,NA
El_Centro,2009,67042,NA,NA
El_Centro,2010,65124,896,NA
El_Centro,2011,60382,914,NA
El_Centro,2012,47832,996,NA
El_Centro,2013,32612,868,730
El_Centro,2014,29022,1324,1260
El_Centro,2015,25640,1336,1350
El_Centro,2016,38896,2758,3186
El_Centro,2017,37266,3062,3596
El_Centro,2018,58460,5430,7078
