sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Rio Grande Valley,2010,119532,9954,NA
Rio Grande Valley,2011,118486,10472,NA
Rio Grande Valley,2012,195524,21518,NA
Rio Grande Valley,2013,308906,43106,14530
Rio Grande Valley,2014,512786,99918,104652
Rio Grande Valley,2015,294514,47728,54818
Rio Grande Valley,2016,373660,73428,104012
Rio Grande Valley,2017,275124,47416,99792
Rio Grande Valley,2018,324524,47514,126556
