sector,fiscal_year,number_of_agents
Southwest Border Total,1992,3555
Southwest Border Total,1993,3444
Southwest Border Total,1994,3747
Southwest Border Total,1995,4388
Southwest Border Total,1996,5333
Southwest Border Total,1997,6315
Southwest Border Total,1998,7357
Southwest Border Total,1999,7706
Southwest Border Total,2000,8580
Southwest Border Total,2001,9147
Southwest Border Total,2002,9239
Southwest Border Total,2003,9840
Southwest Border Total,2004,9506
Southwest Border Total,2005,9891
Southwest Border Total,2006,11032
Southwest Border Total,2007,13297
Southwest Border Total,2008,15442
Southwest Border Total,2009,17408
Southwest Border Total,2010,17535
Southwest Border Total,2011,18506
Southwest Border Total,2012,18546
Southwest Border Total,2013,18611
Southwest Border Total,2014,18156
Southwest Border Total,2015,17522
Southwest Border Total,2016,17026
Southwest Border Total,2017,16605
Southwest Border Total,2018,16608
