sector,fiscal_year,deaths
San Diego,1998,44
San Diego,1999,25
San Diego,2000,34
San Diego,2001,21
San Diego,2002,24
San Diego,2003,29
San Diego,2004,15
San Diego,2005,23
San Diego,2006,36
San Diego,2007,15
San Diego,2008,32
San Diego,2009,15
San Diego,2010,8
San Diego,2011,15
San Diego,2012,5
San Diego,2013,7
San Diego,2014,5
San Diego,2015,6
San Diego,2016,7
San Diego,2017,4
San Diego,2018,4
