sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions
El Centro,2011,1164,30191,717,49815.36,1335.25,1197,124,28,5,260,457,717,29474,2528,27662
El Centro,2012,1168,23916,1405,13135,882.52,1059,35,1,1,481,498,979,22937,2651,21265
El Centro,2013,1141,16306,1165,5653,112,1017,21,9,3,147,434,581,15725,1764,14542
El Centro,2014,1074,14511,2000,5858,148,1422,28,12,6,352,662,1014,13497,1831,12680
El Centro,2015,1004,12820,1500,8768,332,1352,39,7,4,384,668,1052,11768,2035,10785
El Centro,2016,927,19448,5087,2899,126,1134,22,36,9,849,1379,2228,17220,2952,16496
El Centro,2017,870,18633,5812,5554,484,1413,34,4,2,968,1531,2499,16134,2791,15842
El Centro,2018,844,29230,10449,623,165,2718,34,110,17,1884,2715,4599,7314,4302,24928
