sector,fiscal_year,number_of_agents
Livermore,1992,55
Livermore,1993,52
Livermore,1994,51
Livermore,1995,47
Livermore,1996,38
Livermore,1997,23
Livermore,1998,26
Livermore,1999,22
Livermore,2000,17
Livermore,2001,12
Livermore,2002,11
Livermore,2003,7
Livermore,2004,5
Livermore,2005,NA
Livermore,2006,NA
Livermore,2007,NA
Livermore,2008,NA
Livermore,2009,NA
Livermore,2010,NA
Livermore,2011,NA
Livermore,2012,NA
Livermore,2013,NA
Livermore,2014,NA
Livermore,2015,NA
Livermore,2016,NA
Livermore,2017,NA
Livermore,2018,NA
