sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Houlton,2000,978,NA,NA
Houlton,2001,1370,NA,NA
Houlton,2002,864,NA,NA
Houlton,2003,584,NA,NA
Houlton,2004,526,NA,NA
Houlton,2005,466,NA,NA
Houlton,2006,350,NA,NA
Houlton,2007,190,NA,NA
Houlton,2008,162,NA,NA
Houlton,2009,118,NA,NA
Houlton,2010,112,0,NA
Houlton,2011,82,0,NA
Houlton,2012,82,2,NA
Houlton,2013,74,0,0
Houlton,2014,90,0,4
Houlton,2015,64,2,2
Houlton,2016,50,0,0
Houlton,2017,60,16,4
Houlton,2018,104,0,5
