sector,fiscal_year,number_of_agents
Grand_Forks,1992,28
Grand_Forks,1993,30
Grand_Forks,1994,30
Grand_Forks,1995,28
Grand_Forks,1996,31
Grand_Forks,1997,28
Grand_Forks,1998,28
Grand_Forks,1999,28
Grand_Forks,2000,25
Grand_Forks,2001,32
Grand_Forks,2002,45
Grand_Forks,2003,53
Grand_Forks,2004,118
Grand_Forks,2005,109
Grand_Forks,2006,98
Grand_Forks,2007,116
Grand_Forks,2008,131
Grand_Forks,2009,169
Grand_Forks,2010,213
Grand_Forks,2011,213
Grand_Forks,2012,199
Grand_Forks,2013,189
Grand_Forks,2014,185
Grand_Forks,2015,174
Grand_Forks,2016,181
Grand_Forks,2017,189
Grand_Forks,2018,181
