sector,fiscal_year,number_of_agents
Buffalo,1992,33
Buffalo,1993,33
Buffalo,1994,31
Buffalo,1995,30
Buffalo,1996,32
Buffalo,1997,33
Buffalo,1998,35
Buffalo,1999,35
Buffalo,2000,35
Buffalo,2001,37
Buffalo,2002,60
Buffalo,2003,73
Buffalo,2004,110
Buffalo,2005,121
Buffalo,2006,112
Buffalo,2007,166
Buffalo,2008,204
Buffalo,2009,289
Buffalo,2010,320
Buffalo,2011,311
Buffalo,2012,311
Buffalo,2013,297
Buffalo,2014,288
Buffalo,2015,283
Buffalo,2016,285
Buffalo,2017,277
Buffalo,2018,285
