sector,fiscal_year,number_of_agents
San_Diego,1992,1009
San_Diego,1993,992
San_Diego,1994,1290
San_Diego,1995,1433
San_Diego,1996,1965
San_Diego,1997,2281
San_Diego,1998,2274
San_Diego,1999,2136
San_Diego,2000,2053
San_Diego,2001,2004
San_Diego,2002,1807
San_Diego,2003,1972
San_Diego,2004,1651
San_Diego,2005,1562
San_Diego,2006,1671
San_Diego,2007,2019
San_Diego,2008,2328
San_Diego,2009,2570
San_Diego,2010,2594
San_Diego,2011,2669
San_Diego,2012,2623
San_Diego,2013,2572
San_Diego,2014,2546
San_Diego,2015,2430
San_Diego,2016,2325
San_Diego,2017,2199
San_Diego,2018,2202
