sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Tucson,2000,1232692,NA,NA
Tucson,2001,899350,NA,NA
Tucson,2002,667296,NA,NA
Tucson,2003,694526,NA,NA
Tucson,2004,983542,NA,NA
Tucson,2005,878158,NA,NA
Tucson,2006,784148,NA,NA
Tucson,2007,756478,NA,NA
Tucson,2008,635392,NA,NA
Tucson,2009,483346,NA,NA
Tucson,2010,424404,15996,NA
Tucson,2011,246570,11756,NA
Tucson,2012,240000,14478,NA
Tucson,2013,241878,18140,5260
Tucson,2014,175830,16524,7624
Tucson,2015,126794,12038,5860
Tucson,2016,129782,12604,6278
Tucson,2017,77314,7318,4084
Tucson,2018,104344,10046,9908
