sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions
Rio Grande Valley,2011,2504,59243,20890,1021841.6,3163.79,9088,108,238,66,1508,5236,6744,52499,12335,46908
Rio Grande Valley,2012,2546,97762,49939,886001,2174.25,11562,125,318,150,1845,10759,12604,85158,21137,76625
Rio Grande Valley,2013,3086,154453,96829,797249,1819,12797,120,721,156,4474,21553,26027,128426,36453,118000
Rio Grande Valley,2014,3064,256393,192925,654162,1627,9761,89,377,115,29618,49959,79577,176816,83763,172630
Rio Grande Valley,2015,3056,147257,99084,516664,1809,9049,110,714,97,15157,23864,39021,108236,43495,103762
Rio Grande Valley,2016,3135,186830,140496,326393,1460,8781,151,1377,130,28530,36714,65244,121586,63352,123478
Rio Grande Valley,2017,3130,137562,107909,260020,1192,7979,422,1190,104,27222,23708,50930,86632,50306,87256
