sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions
Miami,2011,94,4401,2872,564.05,10.6,108,0,NA,NA,34,27,61,4340,479,3920
Miami,2012,92,2509,1678,578,68.49,160,0,NA,NA,32,18,50,2459,284,2225
Miami,2013,92,1738,1350,1006,131,228,0,NA,NA,24,28,52,1686,236,1502
Miami,2014,94,2034,1757,79,10,168,1,NA,NA,63,28,91,1943,365,1669
Miami,2015,96,1752,1479,485,316,155,0,NA,NA,61,20,81,1671,261,1491
Miami,2016,105,3205,2553,1229,344,263,3,NA,NA,38,20,58,3147,353,2852
Miami,2017,111,2280,1646,2253,231,292,1,NA,NA,19,42,61,2219,219,2061
