sector,fiscal_year,number_of_agents
Northern Border Total,1992,299
Northern Border Total,1993,310
Northern Border Total,1994,306
Northern Border Total,1995,296
Northern Border Total,1996,292
Northern Border Total,1997,267
Northern Border Total,1998,289
Northern Border Total,1999,311
Northern Border Total,2000,306
Northern Border Total,2001,340
Northern Border Total,2002,492
Northern Border Total,2003,569
Northern Border Total,2004,979
Northern Border Total,2005,988
Northern Border Total,2006,919
Northern Border Total,2007,1098
Northern Border Total,2008,1363
Northern Border Total,2009,1887
Northern Border Total,2010,2263
Northern Border Total,2011,2237
Northern Border Total,2012,2206
Northern Border Total,2013,2156
Northern Border Total,2014,2093
Northern Border Total,2015,2051
Northern Border Total,2016,2059
Northern Border Total,2017,2048
Northern Border Total,2018,2097
