sector,fiscal_year,deaths
Tucson,1998,11
Tucson,1999,29
Tucson,2000,74
Tucson,2001,80
Tucson,2002,134
Tucson,2003,137
Tucson,2004,142
Tucson,2005,219
Tucson,2006,169
Tucson,2007,202
Tucson,2008,171
Tucson,2009,212
Tucson,2010,251
Tucson,2011,195
Tucson,2012,180
Tucson,2013,194
Tucson,2014,107
Tucson,2015,63
Tucson,2016,84
Tucson,2017,73
Tucson,2018,58
