sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
New Orleans,2010,6342,56,NA
New Orleans,2011,3018,28,NA
New Orleans,2012,948,10,NA
New Orleans,2013,1000,22,36
New Orleans,2014,1900,42,72
New Orleans,2015,1698,52,50
New Orleans,2016,1528,50,40
New Orleans,2017,1840,44,4
New Orleans,2018,1596,52,10
