sector,fiscal_year,ammunition_rounds,apprehensions,cocaine_pounds,cocaine_seizures,conveyances,currency_in_dollars,ecstasy_pounds,ecstasy_seizures,firearms,heroin_ounces,heroin_seizures,marijuana_pounds,marijuana_seizures,methamphetamine_pounds,methamphetamine_seizures,other_drugs_pounds,other_drugs_seizures,other_than_mexican_apprehensions
Southwest Border Total,2011,41156,327577,8763,500,10297,9849274,2,81,523,6191,85,2518211,15252,1838,437,255,801,46997
Southwest Border Total,2012,124837,356873,5992,457,9452,5535732,101,67,577,6383,124,2297662,14025,3430,562,415,842,94532
Southwest Border Total,2013,29796,414397,3910,351,9074,4750598,4,46,524,8937,171,2428419,15088,3446,637,484,876,148988
Southwest Border Total,2014,63493,479371,4443,360,8687,7351640,1,62,475,9205,145,1920411,13406,3771,724,227,843,252600
Southwest Border Total,2015,12819,186017,4294,421,7832,4401155,7,50,316,8237,142,1536499,12338,6429,704,86,730,145316
Southwest Border Total,2016,15323,408870,4183,431,8256,7652390,8,51,346,8961,165,1292105,11526,8215,811,843,876,218110
Southwest Border Total,2017,13938,303916,6174,463,7388,5169593,1,48,369,15182,219,857888,9371,10273,809,554,735,175978
Southwest Border Total,2018,18302,396579,4838,453,8391,6665864,1,55,314,11302,204,458834,7505,10273,897,891,769,244322
Southwest Border Total,2019,8882,851508,4826,374,9017,5862399,3,46,299,12336,216,262903,5176,6,898,1345,603,685050
