year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_homicide,deaths_suicide,deaths_undetermined,deaths_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_homicide,crude_rate_suicide,crude_rate_undetermined,crude_rate_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_homicide,age_adjusted_rate_suicide,age_adjusted_rate_undetermined,age_adjusted_rate_unintentional
1999,Utah,2203482,124,NA,127,NA,339,NA,34,146,23,212,51,282,159,650,5.63,NA,5.76,NA,15.38,NA,1.54,6.63,1.04,9.62,2.31,12.8,7.22,29.5,7.32,NA,7.47,NA,18.47,NA,1.79,7.53,1.19,10.98,2.29,14.02,8.11,33.37
2000,Utah,2233169,111,NA,113,14,337,NA,39,141,30,224,52,298,158,665,4.97,NA,5.06,NA,15.09,NA,1.75,6.31,1.34,10.03,2.33,13.34,7.08,29.78,6.4,NA,6.49,NA,17.71,NA,1.93,6.87,1.56,11.17,2.28,14.74,7.72,34.21
2001,Utah,2283715,115,NA,115,NA,331,NA,37,131,40,216,77,321,139,643,5.04,NA,5.04,NA,14.49,NA,1.62,5.74,1.75,9.46,3.37,14.06,6.09,28.16,6.38,NA,6.38,NA,17.26,NA,1.87,6.45,2.05,10.87,3.44,15.47,6.86,32.48
2002,Utah,2324815,119,NA,120,12,420,NA,61,158,69,300,54,340,169,714,5.12,NA,5.16,NA,18.07,NA,2.62,6.8,2.97,12.9,2.32,14.62,7.27,30.71,6.52,NA,6.55,NA,21.19,NA,3.07,7.53,3.43,14.65,2.27,16.16,8.06,35.82
2003,Utah,2360137,112,NA,117,15,485,NA,45,250,57,368,58,336,264,702,4.75,NA,4.96,NA,20.55,NA,1.91,10.59,2.42,15.59,2.46,14.24,11.19,29.74,5.81,NA,6.05,NA,22.98,NA,2.05,11.51,2.54,16.93,2.54,15.44,12.2,34.73
2004,Utah,2401580,97,NA,98,53,509,NA,55,234,69,411,45,377,247,697,4.04,NA,4.08,2.21,21.19,NA,2.29,9.74,2.87,17.11,1.87,15.7,10.28,29.02,4.99,NA,5.04,2.89,24.27,NA,2.67,10.58,3.05,19.23,1.87,17.18,11.12,33.39
2005,Utah,2457719,129,NA,133,43,614,NA,46,297,92,481,63,348,317,743,5.25,NA,5.41,1.75,24.98,NA,1.87,12.08,3.74,19.57,2.56,14.16,12.9,30.23,6.44,NA,6.66,2.27,28.24,NA,2.11,13.19,3.93,21.58,2.43,15.35,13.99,34.57
2006,Utah,2525507,139,NA,144,37,625,NA,57,310,77,481,52,362,335,715,5.5,NA,5.7,1.47,24.75,NA,2.26,12.27,3.05,19.05,2.06,14.33,13.26,28.31,6.77,NA,6.96,1.87,27.97,NA,2.63,13.16,3.36,20.99,2.08,16,14.2,31.61
2007,Utah,2597746,136,NA,144,35,690,NA,54,315,142,546,68,378,341,811,5.24,NA,5.54,1.35,26.56,NA,2.08,12.13,5.47,21.02,2.62,14.55,13.13,31.22,6.15,NA,6.49,1.65,29.46,NA,2.34,12.95,5.99,22.95,2.44,15.79,14.1,35.58
2008,Utah,2663029,134,36,170,15,653,NA,67,215,186,483,46,390,232,881,5.03,1.35,6.38,NA,24.52,NA,2.52,8.07,6.98,18.14,1.73,14.64,8.71,33.08,6.04,1.45,7.5,NA,27.18,NA,2.79,8.73,7.47,19.67,1.76,15.86,9.4,37.83
2009,Utah,2723421,136,37,173,30,681,NA,75,193,210,508,51,449,206,899,4.99,1.36,6.35,1.1,25.01,NA,2.75,7.09,7.71,18.65,1.87,16.49,7.56,33.01,6.07,1.56,7.64,1.35,28.1,NA,3.08,7.74,8.32,20.46,1.93,17.88,8.28,38.17
2010,Utah,2763885,151,31,182,24,639,NA,63,132,238,457,52,473,154,970,5.46,1.12,6.58,0.87,23.12,NA,2.28,4.78,8.61,16.53,1.88,17.11,5.57,35.1,6.45,1.28,7.75,1.03,25.7,NA,2.5,5.17,9.22,17.93,1.88,18.28,6,40.62
2011,Utah,2817222,134,32,166,16,686,NA,72,145,287,520,57,502,166,1058,4.76,1.14,5.89,NA,24.35,NA,2.56,5.15,10.19,18.46,2.02,17.82,5.89,37.55,5.56,1.25,6.81,NA,26.97,NA,2.8,5.6,11.07,20.14,2.11,19.44,6.41,42.92
2012,Utah,2855287,166,37,203,11,815,NA,107,157,337,612,46,550,186,1097,5.81,1.3,7.11,NA,28.54,NA,3.75,5.5,11.8,21.43,1.61,19.26,6.51,38.42,6.62,1.42,8.05,NA,31.57,NA,4.18,5.96,13,23.55,1.68,21.01,7.01,44.48
2013,Utah,2900872,196,19,215,18,827,NA,87,139,367,612,53,579,163,1103,6.76,NA,7.41,NA,28.51,NA,3,4.79,12.65,21.1,1.83,19.96,5.62,38.02,7.59,NA,8.35,NA,31.19,NA,3.31,5.19,13.55,22.8,1.9,21.44,6.07,43.39
