year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Vermont,604683,37,,37,,68,,,,13,31,17,63,11,209,6.12,,6.12,,11.25,,,,,5.13,,10.42,,34.56,5.81,,5.81,,10.81,,,,,5.02,,10.25,,34.23
2000,Vermont,608827,38,,38,,75,,,,22,37,11,77,,234,6.24,,6.24,,12.32,,,,3.61,6.08,,12.65,,38.43,5.94,,5.94,,11.88,,,,3.6,5.95,,12.34,,38.05
2001,Vermont,612223,38,,38,,91,,10,,29,53,14,72,,230,6.21,,6.21,,14.86,,,,4.74,8.66,,11.76,,37.57,5.85,,5.85,,14.4,,,,4.72,8.55,,11.4,,36.81
2002,Vermont,615442,68,,68,,122,,,,30,54,,92,13,240,11.05,,11.05,,19.82,,,,4.87,8.77,,14.95,,39,10.14,,10.14,,18.85,,,,4.77,8.7,,14.31,,37.76
2003,Vermont,617858,61,,61,,134,,11,,49,73,12,83,,235,9.87,,9.87,,21.69,,,,7.93,11.82,,13.43,,38.03,9.06,,9.06,,20.57,,,,7.72,11.51,,13.03,,36.28
2004,Vermont,619920,58,,58,,110,,,,36,52,10,93,10,253,9.36,,9.36,,17.74,,,,5.81,8.39,,15,,40.81,8.54,,8.54,,16.84,,,,5.87,8.32,,14.54,,39.36
2005,Vermont,621215,53,,53,,108,,17,,33,55,12,78,,272,8.53,,8.53,,17.39,,,,5.31,8.85,,12.56,,43.79,7.47,,7.47,,16.28,,,,5.2,8.83,,12.48,,42.14
2006,Vermont,622892,63,,63,,146,,16,,57,83,13,81,,301,10.11,,10.11,,23.44,,,,9.15,13.32,,13,,48.32,8.71,,8.71,,22.19,,,,9.59,13.49,,12.18,,45.75
2007,Vermont,623481,62,,63,,131,,18,,44,68,13,89,,303,9.94,,10.1,,21.01,,,,7.06,10.91,,14.27,,48.6,8.01,,8.13,,19.33,,,,7.32,11.18,,13.85,,44.93
2008,Vermont,624151,59,,62,,138,,11,,58,76,17,94,,306,9.45,,9.93,,22.11,,,,9.29,12.18,,15.06,,49.03,8.34,,8.87,,20.13,,,,8.83,11.31,,14.08,,44.47
2009,Vermont,624817,57,,65,,122,,12,,37,57,,87,12,308,9.12,,10.4,,19.53,,,,5.92,9.12,,13.92,,49.29,7.17,,8.28,,16.91,,,,5.86,8.61,,12.96,,43.53
2010,Vermont,625741,54,,59,,127,,21,,34,68,,106,12,298,8.63,,9.43,,20.3,,3.36,,5.43,10.87,,16.94,,47.62,7.13,,7.86,,18.14,,3.03,,5.45,10.29,,15.72,,42.67
2011,Vermont,626431,85,,87,,174,,17,,59,87,,120,,301,13.57,,13.89,,27.78,,,,9.42,13.89,,19.16,,48.05,10.78,,11.16,,24.53,,,,9.17,13.36,,17.76,,42.38
2012,Vermont,626011,65,,66,11,147,,16,,50,81,,87,,333,10.38,,10.54,,23.48,,,,7.99,12.94,,13.9,,53.19,7.87,,8,,20.48,,,,8.3,12.45,,13.02,,47.38
2013,Vermont,626630,95,,100,,199,,18,12,63,99,10,112,20,352,15.16,,15.96,,31.76,,,,10.05,15.8,,17.87,3.19,56.17,11.87,,12.68,,28.61,,,,10.69,15.94,,16.77,2.76,49.62
2014,Vermont,626562,85,,93,,183,,16,10,57,90,16,124,16,322,13.57,,14.84,,29.21,,,,9.1,14.36,,19.79,,51.39,9.7,,10.87,,25.83,,,,10.21,14.97,,18.74,,44.45
2015,Vermont,626042,95,,96,12,207,,13,,83,111,16,103,10,346,15.17,,15.33,,33.06,,,,13.26,17.73,,16.45,,55.27,11.67,,11.9,,30.48,,,,14.09,18.54,,14.8,,48.39
2016,Vermont,624594,98,,98,,229,,15,10,100,131,11,118,16,372,15.69,,15.69,,36.66,,,,16.01,20.97,,18.89,,59.56,12.46,,12.46,,35.79,,,,18.71,23.35,,17.28,,54.83
2017,Vermont,623657,91,,94,11,239,,16,,113,145,15,112,,394,14.59,,15.07,,38.32,,,,18.12,23.25,,17.96,,63.18,11.34,,11.84,,36.85,,,,20.09,25.03,,18.31,,56.87
