year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_homicide,deaths_suicide,deaths_undetermined,deaths_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_homicide,crude_rate_suicide,crude_rate_undetermined,crude_rate_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_homicide,age_adjusted_rate_suicide,age_adjusted_rate_undetermined,age_adjusted_rate_unintentional
1999,Louisiana,4460811,295,NA,301,58,547,NA,35,30,122,246,484,518,71,1940,6.61,NA,6.75,1.3,12.26,NA,0.78,0.67,2.73,5.51,10.85,11.61,1.59,43.49,6.96,NA,7.09,1.31,12.72,NA,0.82,0.68,2.8,5.66,10.68,11.9,1.59,44.66
2000,Louisiana,4468976,216,NA,223,87,558,NA,40,37,170,335,600,468,62,2006,4.83,NA,4.99,1.95,12.49,NA,0.9,0.83,3.8,7.5,13.43,10.47,1.39,44.89,5.02,NA,5.19,2,12.83,NA,0.93,0.83,3.86,7.64,13.2,10.65,1.39,45.88
2001,Louisiana,4477875,229,NA,238,86,589,NA,41,26,197,351,541,493,44,2029,5.11,NA,5.32,1.92,13.15,NA,0.92,0.58,4.4,7.84,12.08,11.01,0.98,45.31,5.23,NA,5.43,1.98,13.4,NA,0.94,0.6,4.45,7.97,11.95,11.23,1,46.45
2002,Louisiana,4497267,225,NA,231,103,699,NA,34,55,275,468,607,499,79,2115,5,NA,5.14,2.29,15.54,NA,0.76,1.22,6.11,10.41,13.5,11.1,1.76,47.03,5.09,NA,5.2,2.39,15.84,NA,0.77,1.23,6.2,10.61,13.32,11.22,1.78,48.1
2003,Louisiana,4521042,220,NA,227,94,857,NA,54,90,391,630,602,461,105,2208,4.87,NA,5.02,2.08,18.96,NA,1.19,1.99,8.65,13.93,13.32,10.2,2.32,48.84,4.89,NA,5.03,2.18,19.33,NA,1.24,2.04,8.86,14.31,13.23,10.3,2.37,49.77
2004,Louisiana,4552238,214,NA,216,117,872,NA,47,73,416,656,602,537,113,2300,4.7,NA,4.74,2.57,19.16,NA,1.03,1.6,9.14,14.41,13.22,11.8,2.48,50.52,4.63,NA,4.68,2.6,19.37,NA,1.05,1.64,9.34,14.7,12.97,11.91,2.52,51.38
2005,Louisiana,4576628,207,NA,216,91,968,NA,46,87,527,752,592,505,119,3072,4.52,NA,4.72,1.99,21.15,NA,1.01,1.9,11.52,16.43,12.94,11.03,2.6,67.12,4.44,NA,4.64,2.02,21.38,NA,1.01,1.94,11.74,16.73,12.77,10.99,2.65,68.5
2006,Louisiana,4302665,212,NA,221,95,1021,NA,44,81,578,800,554,492,109,2422,4.93,NA,5.14,2.21,23.73,NA,1.02,1.88,13.43,18.59,12.88,11.43,2.53,56.29,4.72,NA,4.92,2.22,23.68,NA,1.01,1.91,13.56,18.74,12.71,11.49,2.56,56.79
2007,Louisiana,4375581,183,19,202,54,1064,NA,44,126,638,862,627,522,150,2466,4.18,NA,4.62,1.23,24.32,NA,1.01,2.88,14.58,19.7,14.33,11.93,3.43,56.36,3.97,NA,4.37,1.23,24.43,NA,1,3,14.84,20.07,14.35,11.96,3.51,56.84
2008,Louisiana,4435586,183,27,210,39,896,NA,39,68,539,686,541,532,96,2409,4.13,0.61,4.73,0.88,20.2,NA,0.88,1.53,12.15,15.47,12.2,11.99,2.16,54.31,3.85,0.58,4.44,0.87,20.16,NA,0.92,1.56,12.39,15.73,12.15,12,2.17,54.88
2009,Louisiana,4491648,198,21,219,39,842,NA,30,77,476,623,573,490,105,2142,4.41,0.47,4.88,0.87,18.75,NA,0.67,1.71,10.6,13.87,12.76,10.91,2.34,47.69,4.09,0.5,4.56,0.9,18.61,NA,0.67,1.74,10.72,14.05,12.88,10.85,2.37,48.02
2010,Louisiana,4533372,205,30,235,25,851,NA,37,75,479,616,541,557,103,1999,4.52,0.66,5.18,0.55,18.77,NA,0.82,1.65,10.57,13.59,11.93,12.29,2.27,44.1,4.16,0.7,4.85,0.54,18.56,NA,0.81,1.68,10.7,13.71,12.04,12.3,2.23,44.41
2011,Louisiana,4574836,171,19,190,17,808,NA,55,48,494,618,549,573,70,2091,3.74,NA,4.15,NA,17.66,NA,1.2,1.05,10.8,13.51,12,12.53,1.53,45.71,3.48,NA,3.91,NA,17.77,NA,1.21,1.05,11.13,13.86,12.06,12.52,1.52,45.81
2012,Louisiana,4601893,199,16,215,22,803,NA,49,60,456,588,550,567,82,2362,4.32,NA,4.67,0.48,17.45,NA,1.06,1.3,9.91,12.78,11.95,12.32,1.78,51.33,4.06,NA,4.38,0.52,17.21,NA,1.02,1.36,9.97,12.83,12.1,12.4,1.79,51.05
2013,Louisiana,4625470,280,19,299,27,1135,NA,39,65,704,836,552,583,99,2333,6.05,NA,6.46,0.58,24.54,NA,0.84,1.41,15.22,18.07,11.93,12.6,2.14,50.44,5.38,NA,5.77,0.58,24.12,NA,0.8,1.41,15.54,18.36,12.15,12.36,2.13,50.51
2014,Louisiana,4649676,303,27,330,33,1140,NA,54,60,661,810,538,679,86,2344,6.52,0.58,7.1,0.71,24.52,NA,1.16,1.29,14.22,17.42,11.57,14.6,1.85,50.41,5.93,0.55,6.48,0.74,24.06,NA,1.21,1.33,14.26,17.59,11.67,14.31,1.85,49.76
2015,Louisiana,4670724,351,37,388,40,1289,NA,54,50,757,901,569,722,76,2578,7.51,0.79,8.31,0.86,27.6,NA,1.16,1.07,16.21,19.29,12.18,15.46,1.63,55.19,6.8,0.78,7.59,0.87,27.49,NA,1.12,1.16,16.74,19.9,12.44,15.23,1.73,54.73
2016,Louisiana,4681666,297,28,325,40,1361,NA,45,54,892,1036,648,677,71,2710,6.34,0.6,6.94,0.85,29.07,NA,0.96,1.15,19.05,22.13,13.84,14.46,1.52,57.89,5.67,0.58,6.24,0.87,28.93,NA,0.92,1.18,19.61,22.67,14.31,14.19,1.51,57.44
2017,Louisiana,4684333,313,28,341,30,1479,NA,57,69,982,1138,653,720,105,2780,6.68,0.6,7.28,0.64,31.57,NA,1.22,1.47,20.96,24.29,13.94,15.37,2.24,59.35,5.98,0.59,6.56,0.57,31.64,NA,1.19,1.53,21.76,25.08,14.39,15.22,2.33,58.85
