year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_homicide,deaths_suicide,deaths_undetermined,deaths_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_homicide,crude_rate_suicide,crude_rate_undetermined,crude_rate_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_homicide,age_adjusted_rate_suicide,age_adjusted_rate_undetermined,age_adjusted_rate_unintentional
1999,Tennessee,5638706,383,12,395,30,769,NA,92,48,204,374,423,726,77,2677,6.79,NA,7.01,0.53,13.64,NA,1.63,0.85,3.62,6.63,7.5,12.88,1.37,47.48,6.69,NA,6.9,0.53,13.49,NA,1.6,0.84,3.59,6.59,7.37,12.69,1.37,47.78
2000,Tennessee,5689283,381,NA,389,29,815,NA,100,45,252,426,471,730,76,2743,6.7,NA,6.84,0.51,14.33,NA,1.76,0.79,4.43,7.49,8.28,12.83,1.34,48.21,6.56,NA,6.72,0.52,14.12,NA,1.74,0.79,4.41,7.45,8.19,12.72,1.35,48.54
2001,Tennessee,5750789,399,10,409,45,878,NA,77,46,301,469,454,711,74,2709,6.94,NA,7.11,0.78,15.27,NA,1.34,0.8,5.23,8.16,7.89,12.36,1.29,47.11,6.71,NA,6.88,0.78,15.01,NA,1.32,0.79,5.21,8.12,7.8,12.22,1.3,47.27
2002,Tennessee,5795918,386,NA,395,33,919,NA,92,56,343,524,467,778,91,2744,6.66,NA,6.82,0.57,15.86,NA,1.59,0.97,5.92,9.04,8.06,13.42,1.57,47.34,6.32,NA,6.49,0.57,15.5,NA,1.58,0.97,5.91,9.01,8.01,13.27,1.55,47.73
2003,Tennessee,5847812,469,10,479,51,1192,NA,92,101,469,713,438,762,137,3004,8.02,NA,8.19,0.87,20.38,NA,1.57,1.73,8.02,12.19,7.49,13.03,2.34,51.37,7.64,NA,7.81,0.87,20.05,NA,1.55,1.74,8.06,12.21,7.51,12.85,2.31,51.76
2004,Tennessee,5910809,455,NA,461,59,1283,NA,105,109,549,822,417,792,155,3156,7.7,NA,7.8,1,21.71,NA,1.78,1.84,9.29,13.91,7.05,13.4,2.62,53.39,7.21,NA,7.32,1,21.15,NA,1.73,1.87,9.24,13.86,7.06,13.18,2.59,53.55
2005,Tennessee,5991057,436,15,451,64,1387,NA,104,120,648,936,495,856,174,3147,7.28,NA,7.53,1.07,23.15,NA,1.74,2,10.82,15.62,8.26,14.29,2.9,52.53,6.69,NA,6.94,1.06,22.54,NA,1.72,2.01,10.8,15.59,8.3,14,2.89,52.6
2006,Tennessee,6088766,473,12,485,55,1515,NA,117,142,714,1030,486,874,182,3307,7.77,NA,7.97,0.9,24.88,NA,1.92,2.33,11.73,16.92,7.98,14.35,2.99,54.31,7.11,NA,7.33,0.9,24.21,NA,1.87,2.3,11.75,16.88,7.98,14.12,2.94,54.25
2007,Tennessee,6175727,447,34,481,50,1516,NA,102,120,761,1035,475,844,163,3257,7.24,0.55,7.79,0.81,24.55,NA,1.65,1.94,12.32,16.76,7.69,13.67,2.64,52.74,6.51,0.55,7.08,0.82,23.72,NA,1.6,1.93,12.27,16.65,7.77,13.35,2.61,52.44
2008,Tennessee,6247411,408,50,458,39,1435,NA,112,88,734,977,479,973,157,3250,6.53,0.8,7.33,0.62,22.97,NA,1.79,1.41,11.75,15.64,7.67,15.57,2.51,52.02,5.85,0.77,6.6,0.62,22.04,NA,1.71,1.4,11.62,15.42,7.8,15.1,2.49,51.46
