year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,New Mexico,1808082,292,NA,293,NA,568,NA,43,NA,221,275,167,318,NA,969,16.15,NA,16.21,NA,31.41,NA,2.38,NA,12.22,15.21,9.24,17.59,NA,53.59,16.72,NA,16.77,NA,32.32,NA,2.46,NA,12.43,15.53,9.22,18.05,NA,55.86
2000,New Mexico,1819046,336,NA,342,10,623,NA,52,NA,217,281,160,327,NA,995,18.47,NA,18.8,NA,34.25,NA,2.86,NA,11.93,15.45,8.8,17.98,NA,54.7,18.88,NA,19.21,NA,34.95,NA,2.92,NA,12.09,15.71,8.77,18.31,NA,56.8
2001,New Mexico,1831690,326,NA,331,19,608,NA,45,NA,211,277,130,362,NA,1020,17.8,NA,18.07,NA,33.19,NA,2.46,NA,11.52,15.12,7.1,19.76,NA,55.69,17.9,NA,18.18,NA,33.59,NA,2.46,NA,11.8,15.43,7.1,20.25,NA,57.68
2002,New Mexico,1855309,310,NA,313,14,614,NA,44,NA,242,301,161,349,NA,1105,16.71,NA,16.87,NA,33.09,NA,2.37,NA,13.04,16.22,8.68,18.81,NA,59.56,16.75,NA,16.92,NA,33.81,NA,2.42,NA,13.58,16.89,8.73,19.16,NA,61.41
2003,New Mexico,1877574,356,NA,360,15,733,NA,39,NA,318,373,164,343,NA,1227,18.96,NA,19.17,NA,39.04,NA,2.08,NA,16.94,19.87,8.73,18.27,NA,65.35,18.77,NA,19,NA,39.5,NA,2.14,NA,17.55,20.52,8.8,18.61,NA,67.32
2004,New Mexico,1903808,319,NA,325,17,656,NA,43,NA,269,331,173,356,NA,1223,16.76,NA,17.07,NA,34.46,NA,2.26,NA,14.13,17.39,9.09,18.7,NA,64.24,16.59,NA,16.89,NA,34.71,NA,2.32,NA,14.54,17.81,9.2,18.8,NA,65.98
2005,New Mexico,1932274,316,NA,319,12,704,NA,49,NA,322,385,152,342,NA,1267,16.35,NA,16.51,NA,36.43,NA,2.54,NA,16.66,19.92,7.87,17.7,NA,65.57,16.07,NA,16.22,NA,36.92,NA,2.62,NA,17.34,20.72,7.93,17.76,NA,66.99
2006,New Mexico,1962137,346,NA,351,17,786,NA,58,25,335,435,135,352,43,1297,17.63,NA,17.89,NA,40.06,NA,2.96,1.27,17.07,22.17,6.88,17.94,2.19,66.1,16.97,NA,17.24,NA,39.83,NA,2.85,1.32,17.57,22.59,7.01,17.92,2.22,67.63
2007,New Mexico,1990070,375,29,404,NA,875,NA,67,26,369,471,160,401,54,1329,18.84,1.46,20.3,NA,43.97,NA,3.37,1.31,18.54,23.67,8.04,20.15,2.71,66.78,18.09,1.49,19.58,NA,43.43,NA,3.25,1.32,18.85,23.84,8.19,20.29,2.72,67.7
2008,New Mexico,2010662,383,52,435,16,969,NA,82,32,403,534,151,419,53,1366,19.05,2.59,21.63,NA,48.19,NA,4.08,1.59,20.04,26.56,7.51,20.84,2.64,67.94,18.26,2.77,21.03,NA,48.49,NA,4.16,1.7,20.79,27.47,7.81,20.86,2.73,69.26
2009,New Mexico,2036802,372,54,426,NA,873,NA,58,27,352,447,175,376,48,1281,18.26,2.65,20.92,NA,42.86,NA,2.85,1.33,17.28,21.95,8.59,18.46,2.36,62.89,17.66,2.7,20.36,NA,42.86,NA,2.81,1.3,17.89,22.51,8.84,18.23,2.38,63.8
2010,New Mexico,2059179,378,47,425,NA,912,NA,85,16,377,487,152,413,35,1233,18.36,2.28,20.64,NA,44.29,NA,4.13,NA,18.31,23.65,7.38,20.06,1.7,59.88,17.26,2.42,19.7,NA,43.98,NA,4.05,NA,18.99,24.3,7.62,20.14,1.7,60.73
2011,New Mexico,2082224,427,55,482,NA,1019,NA,66,17,445,537,148,420,34,1336,20.51,2.64,23.15,NA,48.94,NA,3.17,NA,21.37,25.79,7.11,20.17,1.63,64.16,19.32,2.7,22.05,NA,48.75,NA,3.13,NA,22.24,26.71,7.52,20.34,1.69,64.38
2012,New Mexico,2085538,444,54,498,10,1000,NA,66,13,413,502,133,442,41,1351,21.29,2.59,23.88,NA,47.95,NA,3.16,NA,19.8,24.07,6.38,21.19,1.97,64.78,19.89,2.58,22.49,NA,47.6,NA,3.21,NA,20.88,25.13,6.6,21.34,1.87,64.95
2013,New Mexico,2085287,442,49,491,13,962,NA,72,19,367,471,135,431,42,1245,21.2,2.35,23.55,NA,46.13,NA,3.45,NA,17.6,22.59,6.47,20.67,2.01,59.7,20.21,2.5,22.73,NA,46,NA,3.2,NA,18.46,23.29,6.67,20.3,2.01,59.03
2014,New Mexico,2085572,484,32,516,12,1075,NA,50,11,486,559,135,449,31,1534,23.21,1.53,24.74,NA,51.54,NA,2.4,NA,23.3,26.8,6.47,21.53,1.49,73.55,22.1,1.72,23.82,NA,51.73,NA,2.3,NA,24.38,27.9,6.82,21.01,1.62,72.09
2015,New Mexico,2085109,604,52,656,15,1172,NA,71,12,417,516,157,500,39,1430,28.97,2.49,31.46,NA,56.21,NA,3.41,NA,20,24.75,7.53,23.98,1.87,68.58,27.99,2.83,30.83,NA,56.84,NA,3.41,NA,21.22,26.01,7.97,23.74,1.97,67.26
2016,New Mexico,2081015,614,55,669,25,1194,NA,67,NA,428,525,185,471,34,1487,29.5,2.64,32.15,1.2,57.38,NA,3.22,NA,20.57,25.23,8.89,22.63,1.63,71.46,27.44,2.77,30.24,1.15,56.56,NA,3.15,NA,21.77,26.34,9.43,22.49,1.66,69.52
2017,New Mexico,2088070,611,48,659,22,1174,NA,56,NA,428,515,173,491,42,1460,29.26,2.3,31.56,1.05,56.22,NA,2.68,NA,20.5,24.66,8.29,23.51,2.01,69.92,28.05,2.53,30.59,1.12,56.57,NA,2.64,NA,21.84,25.97,8.5,23.3,1.96,68.25
