year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Maine,1266808,105,NA,106,NA,176,NA,33,NA,33,70,25,175,NA,458,8.29,NA,8.37,NA,13.89,NA,2.6,NA,2.6,5.53,1.97,13.81,NA,36.15,7.63,NA,7.71,NA,13.17,NA,2.53,NA,2.64,5.49,2.04,13.39,NA,34.87
2000,Maine,1274923,97,NA,97,NA,159,NA,10,NA,50,62,18,154,NA,407,7.61,NA,7.61,NA,12.47,NA,NA,NA,3.92,4.86,NA,12.08,NA,31.92,6.93,NA,6.93,NA,11.78,NA,NA,NA,3.92,4.86,NA,11.83,NA,30.87
2001,Maine,1285692,93,NA,94,NA,186,NA,24,NA,60,92,21,161,NA,490,7.23,NA,7.31,NA,14.47,NA,1.87,NA,4.67,7.16,1.63,12.52,NA,38.11,6.48,NA,6.54,NA,13.55,NA,1.77,NA,4.64,7.01,1.66,12.09,NA,36.32
2002,Maine,1295960,99,NA,101,NA,248,NA,33,NA,104,147,11,166,NA,511,7.64,NA,7.79,NA,19.14,NA,2.55,NA,8.02,11.34,NA,12.81,NA,39.43,6.85,NA,7.03,NA,18.53,NA,2.48,NA,8.31,11.5,NA,12.5,NA,38.05
2003,Maine,1306513,116,NA,117,NA,251,NA,20,NA,109,134,17,137,NA,516,8.88,NA,8.96,NA,19.21,NA,1.53,NA,8.34,10.26,NA,10.49,NA,39.49,7.7,NA,7.76,NA,18.13,NA,1.43,NA,8.58,10.36,NA,9.97,NA,37.97
2004,Maine,1313688,106,NA,106,NA,251,NA,20,NA,114,145,21,171,12,480,8.07,NA,8.07,NA,19.11,NA,1.52,NA,8.68,11.04,1.6,13.02,NA,36.54,6.91,NA,6.91,NA,18.17,NA,1.37,NA,9.12,11.27,1.64,12.42,NA,35.54
2005,Maine,1318787,130,NA,131,NA,299,NA,20,NA,134,168,22,175,13,579,9.86,NA,9.93,NA,22.67,NA,1.52,NA,10.16,12.74,1.67,13.27,NA,43.9,8.11,NA,8.18,NA,20.97,NA,1.4,NA,10.36,12.79,1.65,12.43,NA,41.7
2006,Maine,1323619,109,NA,114,NA,280,NA,26,NA,131,166,20,158,11,572,8.23,NA,8.61,NA,21.15,NA,1.96,NA,9.9,12.54,1.51,11.94,NA,43.21,7.05,NA,7.4,NA,19.88,NA,1.73,NA,10.15,12.49,1.54,11.04,NA,40.78
2007,Maine,1327040,123,10,133,NA,294,NA,26,NA,125,161,26,191,14,584,9.27,NA,10.02,NA,22.15,NA,1.96,NA,9.42,12.13,1.96,14.39,NA,44.01,7.36,NA,8.06,NA,20.53,NA,1.78,NA,10.05,12.47,2.04,13.63,NA,41.59
2008,Maine,1330509,80,19,99,NA,261,NA,22,NA,134,162,34,181,10,628,6.01,NA,7.44,NA,19.62,NA,1.65,NA,10.07,12.18,2.56,13.6,NA,47.2,4.75,NA,6.1,NA,18.4,NA,1.39,NA,10.47,12.32,2.7,12.72,NA,43.41
