year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_homicide,deaths_suicide,deaths_undetermined,deaths_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_homicide,crude_rate_suicide,crude_rate_undetermined,crude_rate_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_homicide,age_adjusted_rate_suicide,age_adjusted_rate_undetermined,age_adjusted_rate_unintentional
1999,Connecticut,3386401,170,NA,175,20,505,NA,41,37,232,330,120,274,48,1034,5.02,NA,5.17,0.59,14.91,NA,1.21,1.09,6.85,9.74,3.54,8.09,1.42,30.53,4.84,NA,4.96,0.58,14.51,NA,1.18,1.07,6.75,9.56,3.65,7.94,1.39,29.31
2000,Connecticut,3405565,185,10,195,16,531,NA,45,25,250,336,95,304,38,1175,5.43,NA,5.73,NA,15.59,NA,1.32,0.73,7.34,9.87,2.79,8.93,1.12,34.5,5.2,NA,5.51,NA,15.17,NA,1.26,0.72,7.23,9.65,2.89,8.75,1.11,32.81
2001,Connecticut,3432835,151,NA,160,19,486,NA,44,35,228,326,172,283,44,1056,4.4,NA,4.66,NA,14.16,NA,1.28,1.02,6.64,9.5,5.01,8.24,1.28,30.76,4.15,NA,4.41,NA,13.74,NA,1.26,0.98,6.54,9.33,5.08,8.11,1.24,29.47
2002,Connecticut,3458749,193,NA,198,23,575,NA,33,24,297,377,98,260,36,1182,5.58,NA,5.72,0.66,16.62,NA,0.95,0.69,8.59,10.9,2.83,7.52,1.04,34.17,5.23,NA,5.37,0.63,16.26,NA,0.94,0.71,8.62,10.91,2.99,7.33,1.04,32.51
2003,Connecticut,3484336,174,10,184,31,522,NA,54,NA,246,338,107,272,10,1112,4.99,NA,5.28,0.89,14.98,NA,1.55,NA,7.06,9.7,3.07,7.81,NA,31.91,4.61,NA,4.9,0.87,14.54,NA,1.48,NA,7.1,9.66,3.13,7.53,NA,30.22
2004,Connecticut,3496094,180,NA,189,27,549,NA,40,19,274,360,110,294,27,1261,5.15,NA,5.41,0.77,15.7,NA,1.14,NA,7.84,10.3,3.15,8.41,0.77,36.07,4.69,NA,4.92,0.71,15.26,NA,1.09,NA,7.98,10.32,3.3,8.15,0.74,33.95
2005,Connecticut,3506956,182,NA,186,57,538,NA,25,19,251,352,107,295,26,1134,5.19,NA,5.3,1.63,15.34,NA,0.71,NA,7.16,10.04,3.05,8.41,0.74,32.34,4.67,NA,4.77,1.51,14.75,NA,0.7,NA,7.25,9.98,3.22,8.11,0.71,30.25
2006,Connecticut,3517460,183,NA,186,51,644,NA,45,15,347,458,132,292,25,1302,5.2,NA,5.29,1.45,18.31,NA,1.28,NA,9.87,13.02,3.75,8.3,0.71,37.02,4.61,NA,4.68,1.36,17.57,NA,1.21,NA,9.89,12.86,3.94,7.98,0.68,34.55
2007,Connecticut,3527270,192,22,214,11,658,NA,44,32,357,444,106,271,45,1343,5.44,0.62,6.07,NA,18.65,NA,1.25,0.91,10.12,12.59,3.01,7.68,1.28,38.07,4.86,0.6,5.47,NA,18,NA,1.17,0.83,10.22,12.53,3.09,7.33,1.18,35.4
2008,Connecticut,3545579,207,22,229,11,626,NA,35,15,336,397,127,315,27,1386,5.84,0.62,6.46,NA,17.66,NA,0.99,NA,9.48,11.2,3.58,8.88,0.76,39.09,5.14,0.65,5.79,NA,16.83,NA,0.92,NA,9.42,11.02,3.79,8.47,0.74,35.69
2009,Connecticut,3561807,205,17,222,NA,619,NA,51,22,320,397,114,316,30,1293,5.76,NA,6.23,NA,17.38,NA,1.43,0.62,8.98,11.15,3.2,8.87,0.84,36.3,5.04,NA,5.51,NA,16.63,NA,1.34,0.59,9.04,11.1,3.45,8.49,0.79,32.96
2010,Connecticut,3574097,170,22,192,NA,564,NA,45,20,298,372,144,353,33,1337,4.76,0.62,5.37,NA,15.78,NA,1.26,0.56,8.34,10.41,4.03,9.88,0.92,37.41,4.17,0.6,4.77,NA,15.05,NA,1.11,0.53,8.41,10.28,4.19,9.35,0.87,33.59
